,Metadata_broad_sample,average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,BRD-A12994259-001-11-9,0.05211798032581936,1.0078467578618686,0.14029920241603533,0.8529447978761254,False,False
1,BRD-A22769835-300-05-7,0.03736414498326438,0.9119233330497073,0.16446486129536078,0.7839268768973153,False,False
2,BRD-A53576514-048-02-8,0.078089718530895,1.2908469022387297,0.08169912188135015,1.0877826113272364,False,False
3,BRD-A87435144-001-01-6,0.05432507674415435,1.0607773789325616,0.12827301285549886,0.8918647045040038,False,False
4,BRD-K00818915-001-02-9,0.18451243577135432,1.5964241113656037,0.04955192907457624,1.3049394336078528,True,True
5,BRD-K01826510-001-09-9,0.07403376224239983,1.2883765257644282,0.08169912188135015,1.0877826113272364,False,False
6,BRD-K02965346-001-01-8,0.7958333333333333,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
7,BRD-K03063480-001-08-9,1.0,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
8,BRD-K04923131-001-17-9,0.9791666666666666,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
9,BRD-K06182768-001-02-3,0.02804147729933784,0.7484183425835029,0.20809419744087068,0.6817400296131926,False,False
10,BRD-K06883221-001-02-9,0.020961715150155238,0.5825409744593608,0.2705093509470766,0.5678177176386545,False,False
11,BRD-K09372874-001-02-9,0.7683982683982683,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
12,BRD-K12511835-003-03-9,1.0,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
13,BRD-K12737986-001-01-4,0.034730956776210936,0.847503284727855,0.18008638322786616,0.7445191240076053,False,False
14,BRD-K13094524-001-10-9,0.3779741949461777,2.763307609602406,0.0039798828888654445,2.4001297071895804,True,True
15,BRD-K13606314-001-02-9,0.01619911294531358,0.42736289512696474,0.3737981131904064,0.42736289512696474,False,False
16,BRD-K16189898-001-26-9,0.9791666666666666,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
17,BRD-K16803204-001-02-9,0.07541291949734734,1.28615026509407,0.08169912188135015,1.0877826113272364,False,False
18,BRD-K17953061-001-05-1,1.0,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
19,BRD-K19477839-001-10-9,0.028958654244771995,0.6596338651159384,0.23460072951322591,0.6296706417384952,False,False
20,BRD-K19871656-001-01-3,0.8739177489177489,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
21,BRD-K20290250-001-03-9,0.20685970021717748,1.9035498274629281,0.025541123996771158,1.5927599945097908,True,True
22,BRD-K21728777-001-03-9,1.0,4.000043427276863,0.00034611923423042324,3.4607742658083556,True,True
23,BRD-K23383398-001-08-1,0.09200415459256302,1.2175857097196179,0.09378451478756072,1.0278688641528462,False,False
24,BRD-K24600306-003-02-9,0.03815923431336036,0.9056604736304039,0.16446486129536078,0.7839268768973153,False,False
25,BRD-K24696047-001-03-9,0.4273286742044683,2.9385666018699435,0.0028798734684605414,2.540626593197906,True,True
