,Metadata_broad_sample,average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,BRD-A12994259-001-11-9,0.1632563025210084,0.3022794769519695,0.5679837898388169,0.24566405880308603,False,False
1,BRD-A22769835-300-05-7,0.11847284887330654,0.12379172005994951,0.7962177658165563,0.09896813633491738,False,False
2,BRD-A53576514-048-02-8,0.1419736975986976,0.21826709187320123,0.6559901604236523,0.18310267480995032,False,False
3,BRD-A87435144-001-01-6,0.3643789081289081,0.9714405042323582,0.18135358101875837,0.7414738643938223,False,False
4,BRD-K00818915-001-02-9,0.21025041779997025,0.4132273483796491,0.5111004323732135,0.29149375164656055,False,False
5,BRD-K01826510-001-09-9,0.20703472902961395,0.45193606446233997,0.4744950020485799,0.32376835772384155,False,False
6,BRD-K02965346-001-01-8,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
7,BRD-K03063480-001-08-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
8,BRD-K04923131-001-17-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
9,BRD-K06182768-001-02-3,0.10503661285395031,0.06920497096913675,0.8821009419761077,0.0544817141484304,False,False
10,BRD-K06883221-001-02-9,0.15473257006151742,0.2645334122952281,0.6042603226761437,0.21877592173455304,False,False
11,BRD-K09372874-001-02-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
12,BRD-K12511835-003-03-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
13,BRD-K12737986-001-01-4,0.17228273538056146,0.3286659685644033,0.5638527961504001,0.24883426155545388,False,False
14,BRD-K13094524-001-10-9,0.714996114996115,2.6316716847607204,0.005004048776426525,2.300678465719296,True,True
15,BRD-K13606314-001-02-9,0.16644196309242076,0.29200575588265587,0.574310513349421,0.24085323343527457,False,False
16,BRD-K16189898-001-26-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
17,BRD-K16803204-001-02-9,0.19524163200633787,0.40525270858493306,0.5130275764719836,0.28985928988286347,False,False
18,BRD-K17953061-001-05-1,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
19,BRD-K19477839-001-10-9,0.14892546050440786,0.23784475020175175,0.6347225192218072,0.19741609314614358,False,False
20,BRD-K19871656-001-01-3,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
21,BRD-K20290250-001-03-9,0.3074478420130594,0.701324876765556,0.2841692514143908,0.5464229167798128,False,False
22,BRD-K21728777-001-03-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
23,BRD-K23383398-001-08-1,0.5032675657675658,1.4058005897841301,0.075221858919859,1.1236559382805227,True,False
24,BRD-K24600306-003-02-9,0.238686232068585,0.5361967544188008,0.39673619105620256,0.4014981805213445,False,False
25,BRD-K24696047-001-03-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
26,BRD-K25433859-003-03-1,0.167425038197097,0.31541558653179924,0.5638527961504001,0.24883426155545388,False,False
27,BRD-K25611237-001-09-9,0.37873880612851196,0.9304464009678615,0.19561508768886324,0.7085976513515051,False,False
28,BRD-K28936863-051-14-0,0.17185052869835477,0.32254447084775445,0.5638527961504001,0.24883426155545388,False,False
29,BRD-K30707190-001-06-9,0.3381412227064401,0.7400194025127347,0.2729429345378687,0.5639281434570534,False,False
30,BRD-K32730239-001-03-9,0.30377590002590005,0.8453943745312458,0.2294352315221627,0.6393398920981214,False,False
31,BRD-K33818169-003-04-6,0.2574589018067279,0.5730565150543442,0.37006042029808334,0.4317273622578749,False,False
32,BRD-K36234266-001-10-6,0.09825799064769654,0.0471402098965895,0.9035361828903508,0.04405445105548601,False,False
33,BRD-K37379014-001-02-0,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
34,BRD-K38627885-001-01-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
35,BRD-K39520573-001-01-2,0.32316624150989476,0.8013180056611331,0.2494879922789151,0.6029503518942996,False,False
36,BRD-K39974922-001-05-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
37,BRD-K44227013-001-15-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
38,BRD-K45909031-001-03-9,0.8388888888888889,3.2140556481708717,0.0013744434309277314,2.861873130059509,True,True
39,BRD-K49669041-001-10-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
40,BRD-K50055394-001-04-9,0.4708333333333333,1.3605746386585502,0.0808794773073058,1.0921616640847895,True,False
41,BRD-K53665955-001-05-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
42,BRD-K53972329-001-12-9,0.4684537684537685,1.3239748112349146,0.08536850851486198,1.0687023061316085,True,False
43,BRD-K54759182-003-09-8,0.16581553877589683,0.3136909304011795,0.5638527961504001,0.24883426155545388,False,False
44,BRD-K54955827-001-03-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
45,BRD-K56301217-001-02-5,0.7796717171717171,2.937756072265733,0.0025333930830392605,2.596297419546144,True,True
46,BRD-K56932272-001-02-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
47,BRD-K57080016-001-19-1,0.9345238095238095,3.5968474630969287,0.0005838891959500765,3.233669560684103,True,True
48,BRD-K60130390-001-02-1,0.48740510697032435,1.4135253703356474,0.075221858919859,1.1236559382805227,True,False
49,BRD-K61397605-001-04-2,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
50,BRD-K61688984-001-04-5,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
51,BRD-K62391742-001-19-9,0.3511634199134199,0.8662070660370161,0.22267566291761198,0.6523272460919352,False,False
52,BRD-K63631219-001-01-6,0.18982579417362028,0.3924914474378177,0.5207784707660733,0.2833469780127497,False,False
53,BRD-K64881305-001-07-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
54,BRD-K66401437-001-03-3,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
55,BRD-K66430217-001-05-9,0.17897727272727273,0.3385808472226684,0.5638527961504001,0.24883426155545388,False,False
56,BRD-K67578145-001-13-9,0.9513888888888888,3.7215575892001533,0.00046183112226732685,3.3355168038278236,True,True
57,BRD-K67772619-001-06-9,0.13579904622667782,0.1943671044674997,0.6848510388997314,0.16440388109005644,False,False
58,BRD-K68756823-001-12-9,0.3481680098940161,1.0320978844355468,0.1607464095926004,0.7938587186310211,False,False
59,BRD-K69023402-001-03-3,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
60,BRD-K70446295-001-04-9,0.4144851554391028,1.0638206383790192,0.15235324015414067,0.8171483050376307,False,False
61,BRD-K70578146-001-13-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
62,BRD-K70642949-001-06-9,0.9791666666666666,3.8055056146809516,0.00040241007958231574,3.3953311495919025,True,True
63,BRD-K72898849-001-03-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
64,BRD-K72951360-001-02-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
65,BRD-K73397362-001-09-9,0.47685776428743176,1.3562080934956007,0.0808794773073058,1.0921616640847895,True,False
66,BRD-K73982490-001-04-9,0.17750864875864877,0.3470399536176109,0.5638527961504001,0.24883426155545388,False,False
67,BRD-K75009076-001-04-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
68,BRD-K76908866-001-08-9,0.3134388369914686,0.7795420063714235,0.25779382448202776,0.5887274904950359,False,False
69,BRD-K82164249-001-03-5,0.17045295210340974,0.3109821683042983,0.5638527961504001,0.24883426155545388,False,False
70,BRD-K82941592-238-06-9,0.09961004137474726,0.06209104855796656,0.8864796874167311,0.052331211268810275,False,False
71,BRD-K83192048-050-01-9,0.28850108225108223,0.7044325506538159,0.2841692514143908,0.5464229167798128,False,False
72,BRD-K83607951-001-04-9,0.6960164835164835,2.5818453838263444,0.005481869214877853,2.2610713299666063,True,True
73,BRD-K84937637-001-21-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
74,BRD-K85606544-001-07-5,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
75,BRD-K85776940-001-01-9,0.1165160946139207,0.11708409768121701,0.7992082540020982,0.09734003948545993,False,False
76,BRD-K86118762-001-05-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
77,BRD-K86718786-001-03-9,0.2998534553681612,0.7643514952051513,0.26244542266030135,0.5809609974079706,False,False
78,BRD-K87632963-001-05-9,0.5987914862914863,1.8350378780765706,0.029240993051765026,1.5340078824125893,True,True
79,BRD-K88677950-001-04-9,0.9458333333333333,3.599528429444872,0.0005838891959500765,3.233669560684103,True,True
80,BRD-K91900765-001-09-9,0.25956020566121185,0.5845908890490165,0.36599204541571134,0.43652835359357883,False,False
81,BRD-K93942811-001-03-9,0.5962535014005602,1.9481748090533388,0.023047033012386222,1.6373849761002013,True,True
82,BRD-K94455792-001-01-8,0.9666666666666667,3.7396952559873062,0.00045524454725474266,3.3417552473152687,True,True
83,BRD-K97452254-001-02-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
84,BRD-K98203492-001-06-9,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
85,BRD-K98251413-001-07-9,0.17118850791451412,0.32868927422848904,0.5638527961504001,0.24883426155545388,False,False
86,BRD-K99092662-001-02-9,0.09708254205536815,0.04405445105548602,0.9035361828903508,0.04405445105548601,False,False
87,BRD-K99113996-001-02-0,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
88,BRD-K99433989-001-02-9,0.3061730399230399,0.7174622407331871,0.2827811352726563,0.5485495663046293,False,False
89,BRD-M87138257-003-01-1,1.0,4.000043427276863,0.0002646794144115001,3.5772798348797927,True,True
