,Metadata_broad_sample,average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,BRD-A12994259-001-11-9,0.38776338041043923,0.982391003653434,0.17342894637153564,0.7608784143554213,False,False
1,BRD-A22769835-300-05-7,0.1563225310264784,0.25942465220408917,0.6004597964706522,0.22151606528930978,False,False
2,BRD-A53576514-048-02-8,0.21676840459735194,0.4884574561116322,0.4199549761947884,0.37679726826471976,False,False
3,BRD-A87435144-001-01-6,0.3463076139546728,0.870392410624855,0.21280177353587978,0.6720247568580214,False,False
4,BRD-K00818915-001-02-9,0.30488445378151263,0.7202348766761566,0.27206149693990406,0.5653329166904134,False,False
5,BRD-K01826510-001-09-9,0.22875583845978584,0.5245584398578276,0.407248273610809,0.3901407480578531,False,False
6,BRD-K02965346-001-01-8,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
7,BRD-K03063480-001-08-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
8,BRD-K04923131-001-17-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
9,BRD-K06182768-001-02-3,0.11626028211554526,0.1162722187637398,0.7825058959759481,0.10651238147458357,False,False
10,BRD-K06883221-001-02-9,0.16903819219995692,0.31226745154435487,0.555070269748976,0.25565203339547143,False,False
11,BRD-K09372874-001-02-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
12,BRD-K12511835-003-03-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
13,BRD-K12737986-001-01-4,0.26732989232989235,0.6012549819658596,0.3467960728407893,0.45992582916939023,False,False
14,BRD-K13094524-001-10-9,0.47511202713408596,1.2455766738546876,0.10501098134155908,0.9787652829617549,False,False
15,BRD-K13606314-001-02-9,0.4304235796882856,1.1377553619780925,0.12603286354967216,0.8995161961735668,False,False
16,BRD-K16189898-001-26-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
17,BRD-K16803204-001-02-9,0.18223241396994594,0.35783619523054006,0.5127617121819442,0.290084410963697,False,False
18,BRD-K17953061-001-05-1,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
19,BRD-K19477839-001-10-9,0.12514981596503333,0.15467972267584731,0.7329331003475253,0.13493566448009017,False,False
20,BRD-K19871656-001-01-3,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
21,BRD-K20290250-001-03-9,0.3183518125022702,0.7748723463760848,0.24776521186858355,0.605959671947527,False,False
22,BRD-K21728777-001-03-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
23,BRD-K23383398-001-08-1,0.6461489898989898,1.9960247197664263,0.02064263403431184,1.6852348868132887,True,True
24,BRD-K24600306-003-02-9,0.10848583280648498,0.08617822054219187,0.8200149674019577,0.08617822054219187,False,False
25,BRD-K24696047-001-03-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
26,BRD-K25433859-003-03-1,0.12162716758944381,0.13857985428644654,0.7518711182745942,0.12385659746574018,False,False
27,BRD-K25611237-001-09-9,0.5362179487179487,1.5486142916477443,0.055392314885218355,1.2565504849910796,True,False
28,BRD-K28936863-051-14-0,0.18879127408539173,0.3877300400797241,0.4849521365940039,0.3143011229211906,False,False
29,BRD-K30707190-001-06-9,0.18977710885605623,0.39120839456535283,0.4849521365940039,0.3143011229211906,False,False
30,BRD-K32730239-001-03-9,0.2573563315339631,0.5170649178246993,0.407248273610809,0.3901407480578531,False,False
31,BRD-K33818169-003-04-6,0.33819499822789295,0.8565006624701001,0.21593043188981248,0.6656861465937126,False,False
32,BRD-K36234266-001-10-6,0.14232367755385658,0.2086247626317816,0.6587599118810314,0.18127283721719217,False,False
33,BRD-K37379014-001-02-0,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
34,BRD-K38627885-001-01-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
35,BRD-K39520573-001-01-2,0.1796929785900374,0.3490463087232354,0.5165371928679877,0.2868984019743909,False,False
36,BRD-K39974922-001-05-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
37,BRD-K44227013-001-15-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
38,BRD-K45909031-001-03-9,0.6828373015873016,2.3456766487488796,0.009667553192049193,2.014683429707455,True,True
39,BRD-K49669041-001-10-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
40,BRD-K50055394-001-04-9,0.4582308042834358,1.2428117123725662,0.10501098134155908,0.9787652829617549,False,False
41,BRD-K53665955-001-05-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
42,BRD-K53972329-001-12-9,0.2162866749263808,0.46630653688255974,0.4321322349541737,0.3643833362331733,False,False
43,BRD-K54759182-003-09-8,0.19327069716775597,0.40657433396421827,0.4821147208290611,0.31684960762252073,False,False
44,BRD-K54955827-001-03-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
45,BRD-K56301217-001-02-5,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
46,BRD-K56932272-001-02-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
47,BRD-K57080016-001-19-1,0.9513888888888888,3.6204149423073906,0.0005829426663375793,3.234374156935061,True,True
48,BRD-K60130390-001-02-1,0.6204124579124579,2.049305536038844,0.01868394231708354,1.7285314821791056,True,True
49,BRD-K61397605-001-04-2,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
50,BRD-K61688984-001-04-5,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
51,BRD-K62391742-001-19-9,0.45448972323972325,1.225616914558574,0.1070669892906929,0.970344409455268,False,False
52,BRD-K63631219-001-01-6,0.11058723196881091,0.09494717317175906,0.8126533493145084,0.09009467037734702,False,False
53,BRD-K64881305-001-07-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
54,BRD-K66401437-001-03-3,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
55,BRD-K66430217-001-05-9,0.41551479709374445,1.0185416013392052,0.16271404384463822,0.7885749615006694,False,False
56,BRD-K67578145-001-13-9,0.8218253968253968,2.6488281590541,0.004927543803809688,2.3073695063345108,True,True
57,BRD-K67772619-001-06-9,0.23688925596820332,0.5118743447909416,0.407248273610809,0.3901407480578531,False,False
58,BRD-K68756823-001-12-9,0.3297358197358197,0.7752811332117294,0.24776521186858355,0.605959671947527,False,False
59,BRD-K69023402-001-03-3,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
60,BRD-K70446295-001-04-9,0.5393483709273182,1.5480351627488305,0.055392314885218355,1.2565504849910796,True,False
61,BRD-K70578146-001-13-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
62,BRD-K70642949-001-06-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
63,BRD-K72898849-001-03-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
64,BRD-K72951360-001-02-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
65,BRD-K73397362-001-09-9,0.4412968975468975,1.211842564663439,0.10835021281651169,0.9651702313220505,False,False
66,BRD-K73982490-001-04-9,0.15209054834054833,0.25768806888994,0.6004597964706522,0.22151606528930978,False,False
67,BRD-K75009076-001-04-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
68,BRD-K76908866-001-08-9,0.15588381023163633,0.25668048235256075,0.6004597964706522,0.22151606528930978,False,False
69,BRD-K82164249-001-03-5,0.21691017316017316,0.48594173768978777,0.4199549761947884,0.37679726826471976,False,False
70,BRD-K82941592-238-06-9,0.22203561508313158,0.4612933492412297,0.4321322349541737,0.3643833362331733,False,False
71,BRD-K83192048-050-01-9,0.30372023809523807,0.7590032218330975,0.25284105751458075,0.5971524018920266,False,False
72,BRD-K83607951-001-04-9,0.9358974358974359,3.5797331179329657,0.0006073580394049024,3.21655521552014,True,True
73,BRD-K84937637-001-21-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
74,BRD-K85606544-001-07-5,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
75,BRD-K85776940-001-01-9,0.13817716629501528,0.20609642094222433,0.6587599118810314,0.18127283721719217,False,False
76,BRD-K86118762-001-05-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
77,BRD-K86718786-001-03-9,0.3202218687745003,0.8099737759843688,0.23627442874157742,0.6265832781871882,False,False
78,BRD-K87632963-001-05-9,0.35424723424723426,0.8729857886466358,0.21280177353587978,0.6720247568580214,False,False
79,BRD-K88677950-001-04-9,0.740244708994709,2.7146778482717955,0.004340149304532867,2.362495330160433,True,True
80,BRD-K91900765-001-09-9,0.29635040885040886,0.6881579337689434,0.28833980584546703,0.5400953983135057,False,False
81,BRD-K93942811-001-03-9,0.5011642156862746,1.4073350137373188,0.07495655837996605,1.1251903622337114,True,False
82,BRD-K94455792-001-01-8,0.9583333333333333,3.5942311046773874,0.0006028757401943092,3.2197721918548727,True,True
83,BRD-K97452254-001-02-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
84,BRD-K98203492-001-06-9,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
85,BRD-K98251413-001-07-9,0.16285270285270284,0.29971289255746875,0.5642085067838026,0.2485603701100875,False,False
86,BRD-K99092662-001-02-9,0.2123346560846561,0.4018603973308695,0.4821147208290611,0.31684960762252073,False,False
87,BRD-K99113996-001-02-0,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
88,BRD-K99433989-001-02-9,0.37369281045751634,0.9747582343005022,0.17342894637153564,0.7608784143554213,False,False
89,BRD-M87138257-003-01-1,1.0,4.000043427276863,0.00024997500249975007,3.602103418604825,True,True
