,Metadata_broad_sample,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,BRD-A12994259-001-11-9,0.2620529832486354,0.62243414,0.3023778888541208,0.5194499694530138,False,False
1,BRD-A22769835-300-05-7,0.18735174139585903,0.3817551,0.455694260393701,0.34132644145275404,False,False
2,BRD-A53576514-048-02-8,0.1679112554112554,0.3100144,0.518572137636297,0.2851908211491515,False,False
3,BRD-A87435144-001-01-6,0.807936507936508,2.703808,0.003955686930567026,2.4027780875772446,True,True
4,BRD-K00818915-001-02-9,0.34632708155726055,0.8762801,0.18409797549247742,0.7349509873638833,False,False
5,BRD-K01826510-001-09-9,0.23330370609782375,0.49712822,0.3724569430598965,0.4289239255258918,False,False
6,BRD-K02965346-001-01-8,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
7,BRD-K03063480-001-08-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
8,BRD-K04923131-001-17-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
9,BRD-K06182768-001-02-3,0.43030753968253965,1.2469974,0.08219652779160007,1.085146527871116,False,False
10,BRD-K06883221-001-02-9,0.20271496756597374,0.43330085,0.42006313046322596,0.3766854354319178,False,False
11,BRD-K09372874-001-02-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
12,BRD-K12511835-003-03-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
13,BRD-K12737986-001-01-4,0.1605173163609696,0.2858605,0.541855561178784,0.2661164650167923,False,False
14,BRD-K13094524-001-10-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
15,BRD-K13606314-001-02-9,0.4452876984126984,1.1361836,0.10440429406506675,0.9812816387819155,False,False
16,BRD-K16189898-001-26-9,0.9791666666666666,3.1906574,0.0015681348678127335,2.8046165884449348,True,True
17,BRD-K16803204-001-02-9,0.2362660215601392,0.53120273,0.3678809478878975,0.4342927031756878,False,False
18,BRD-K17953061-001-05-1,0.9333333333333333,3.0902715,0.0017831471703219704,2.7488128112716073,True,True
19,BRD-K19477839-001-10-9,0.17405945419103314,0.3283636,0.5030366459063121,0.29840037570912525,False,False
20,BRD-K19871656-001-01-3,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
21,BRD-K20290250-001-03-9,0.41763468013468014,1.0977707,0.11227726936340332,0.9497081581575373,False,False
22,BRD-K21728777-001-03-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
23,BRD-K23383398-001-08-1,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
24,BRD-K24600306-003-02-9,0.45494281045751633,1.2668568,0.07980973933075294,1.097944107652885,False,False
25,BRD-K24696047-001-03-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
26,BRD-K25433859-003-03-1,0.23880267834198377,0.5184842,0.3724569430598965,0.4289239255258918,False,False
27,BRD-K25611237-001-09-9,0.8194444444444444,2.6736112,0.004148331885833455,2.382126505315746,True,True
28,BRD-K28936863-051-14-0,0.21189874939874942,0.45557615,0.40417715907096863,0.3934282330516059,False,False
29,BRD-K30707190-001-06-9,0.23444671799934955,0.49667573,0.3724569430598965,0.4289239255258918,False,False
30,BRD-K32730239-001-03-9,0.6081196581196581,1.813804,0.024674618117777363,1.607749560061585,True,True
31,BRD-K33818169-003-04-6,0.5736971104231166,1.7367591,0.028448242951056052,1.545944551772434,True,True
32,BRD-K36234266-001-10-6,0.11949947194512411,0.12631756,0.7476226091384888,0.12631757343069305,False,False
33,BRD-K37379014-001-02-0,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
34,BRD-K38627885-001-01-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
35,BRD-K39520573-001-01-2,0.5995791245791245,1.7422504,0.028448242951056052,1.545944551772434,True,True
36,BRD-K39974922-001-05-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
37,BRD-K44227013-001-15-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
38,BRD-K45909031-001-03-9,0.7492063492063492,2.4650326,0.0061693573370575905,2.209760074136339,True,True
39,BRD-K49669041-001-10-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
40,BRD-K50055394-001-04-9,0.9458333333333333,3.1248472,0.0017765226366464049,2.7504292543114457,True,True
41,BRD-K53665955-001-05-9,0.8694444444444445,2.7403922,0.0037187554037452423,2.429602385851063,True,True
42,BRD-K53972329-001-12-9,0.6685606060606061,2.0818577,0.01380355873455604,1.860008932473165,True,True
43,BRD-K54759182-003-09-8,0.15236116185604676,0.2562892,0.5733687918761681,0.24156594913773624,False,False
44,BRD-K54955827-001-03-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
45,BRD-K56301217-001-02-5,0.7791666666666667,2.5059898,0.0057287075157676426,2.2419433504735102,True,True
46,BRD-K56932272-001-02-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
47,BRD-K57080016-001-19-1,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
48,BRD-K60130390-001-02-1,0.9513888888888888,3.1026118,0.0017765226366464049,2.7504292543114457,True,True
49,BRD-K61397605-001-04-2,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
50,BRD-K61688984-001-04-5,0.9791666666666666,3.1906574,0.0015681348678127335,2.8046165884449348,True,True
51,BRD-K62391742-001-19-9,0.7857142857142857,2.5148346,0.0057287075157676426,2.2419433504735102,True,True
52,BRD-K63631219-001-01-6,0.14212079449493636,0.21873584,0.6111061840914608,0.2138833214131993,False,False
53,BRD-K64881305-001-07-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
54,BRD-K66401437-001-03-3,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
55,BRD-K66430217-001-05-9,0.22845498905281517,0.49943194,0.3724569430598965,0.4289239255258918,False,False
56,BRD-K67578145-001-13-9,0.9388888888888889,3.0273545,0.001965258053915445,2.7065804152461834,True,True
57,BRD-K67772619-001-06-9,0.31585437710437714,0.80630994,0.21150613231445425,0.6746770363659121,False,False
58,BRD-K68756823-001-12-9,0.22067630082335965,0.49873215,0.3724569430598965,0.4289239255258918,False,False
59,BRD-K69023402-001-03-3,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
60,BRD-K70446295-001-04-9,0.6657738095238095,2.0615618,0.014200969345190308,1.847682010060677,True,True
61,BRD-K70578146-001-13-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
62,BRD-K70642949-001-06-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
63,BRD-K72898849-001-03-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
64,BRD-K72951360-001-02-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
65,BRD-K73397362-001-09-9,0.9305555555555556,3.0713773,0.001818092298760478,2.74038407280555,True,True
66,BRD-K73982490-001-04-9,0.19815036661264282,0.36023942,0.47306954142559005,0.32507501309416503,False,False
67,BRD-K75009076-001-04-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
68,BRD-K76908866-001-08-9,0.6791666666666667,2.2672615,0.009353575296700002,2.0290223533164395,True,True
69,BRD-K82164249-001-03-5,0.19151291533257478,0.39273643,0.4529997706413269,0.343902017875096,False,False
70,BRD-K82941592-238-06-9,0.28244902027796764,0.65109,0.2912751293700674,0.5356965961772048,False,False
71,BRD-K83192048-050-01-9,0.3229256854256854,0.7795375,0.21988524671863108,0.6578039088094356,False,False
72,BRD-K83607951-001-04-9,0.7551587301587303,2.5248237,0.005719011768381646,2.2426790097764697,True,True
73,BRD-K84937637-001-21-9,0.6826388888888888,2.1866484,0.011048880054281568,1.9566817410644322,True,True
74,BRD-K85606544-001-07-5,0.7458333333333333,2.4401796,0.006404610980740365,2.1935072443812356,True,True
75,BRD-K85776940-001-01-9,0.14339120173485498,0.22136423,0.6111061840914608,0.2138833214131993,False,False
76,BRD-K86118762-001-05-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
77,BRD-K86718786-001-03-9,0.2900373745322594,0.6428745,0.29259708523750305,0.5337300044976989,False,False
78,BRD-K87632963-001-05-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
79,BRD-K88677950-001-04-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
80,BRD-K91900765-001-09-9,0.48586309523809523,1.3674473,0.06436414271593094,1.1913560108631358,True,False
81,BRD-K93942811-001-03-9,0.9513888888888888,3.102612,0.0017765226366464049,2.7504292543114457,True,True
82,BRD-K94455792-001-01-8,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
83,BRD-K97452254-001-02-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
84,BRD-K98203492-001-06-9,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
85,BRD-K98251413-001-07-9,0.3258522727272727,0.80284476,0.21150613231445425,0.6746770363659121,False,False
86,BRD-K99092662-001-02-9,0.19637537382102596,0.38965952,0.4529997706413269,0.343902017875096,False,False
87,BRD-K99113996-001-02-0,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
88,BRD-K99433989-001-02-9,0.5130050505050504,1.441267,0.055223444508293924,1.2578765081587198,True,False
89,BRD-M87138257-003-01-1,1.0,3.221892,0.0015427030489913055,2.8117176621388413,True,True
