,Metadata_broad_sample,average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,BRD-A12994259-001-11-9,0.1189305903733504,1.291960140709921,0.0759330774295572,1.119568998599739,False,False
1,BRD-A22769835-300-05-7,0.023821862279838985,0.6445254963996176,0.2519022195553538,0.5987680058389425,False,False
2,BRD-A53576514-048-02-8,0.059661034883154065,1.1397708276977458,0.10156779601377536,0.9932439714865788,False,False
3,BRD-A87435144-001-01-6,0.13393854005521255,1.67071150013754,0.035574372599915735,1.4488627505211837,True,True
4,BRD-K00818915-001-02-9,0.07189728462084566,1.2480469121484778,0.08199812236358067,1.086196092207407,False,False
5,BRD-K01826510-001-09-9,0.018357154975974815,0.4842958083401829,0.34312175127751054,0.4645517501444258,False,False
6,BRD-K02965346-001-01-8,0.8586309523809523,4.000043427276863,0.0005293588288230002,3.2762498392158115,True,True
7,BRD-K03063480-001-08-9,0.7409722222222221,3.7742709305288766,0.0006494541074275865,3.1874515321893124,True,True
8,BRD-K04923131-001-17-9,0.5863686995265943,3.4297850854649305,0.001186873757960248,2.925595472399196,True,True
9,BRD-K06182768-001-02-3,0.026257425179132876,0.6798425487661892,0.23835962272344285,0.622767310649737,False,False
10,BRD-K06883221-001-02-9,0.024689695997976838,0.6793827287986204,0.23835962272344285,0.622767310649737,False,False
11,BRD-K09372874-001-02-9,1.0,4.000043427276863,0.0005293588288230002,3.2762498392158115,True,True
12,BRD-K12511835-003-03-9,0.7942307692307692,3.7614827999170313,0.0006494541074275865,3.1874515321893124,True,True
13,BRD-K12737986-001-01-4,0.07504307989691783,1.2037833517180165,0.08935494838068544,1.0488813917322732,False,False
14,BRD-K13094524-001-10-9,0.18779567494601254,1.9717779933796928,0.019208546873288435,1.7165054882763868,True,True
15,BRD-K13606314-001-02-9,0.011739297845485453,0.23511355723979147,0.5884898077501158,0.23026105444537934,False,False
16,BRD-K16189898-001-26-9,1.0,4.000043427276863,0.0005293588288230002,3.2762498392158115,True,True
17,BRD-K16803204-001-02-9,0.03241336677380982,0.7830934338186621,0.19513513955515144,0.7096645166601286,False,False
18,BRD-K17953061-001-05-1,0.6500793650793651,3.4297850854649305,0.001186873757960248,2.925595472399196,True,True
19,BRD-K19477839-001-10-9,0.022859714735969393,0.6280191020049906,0.258469650187166,0.5875904449493823,False,False
20,BRD-K19871656-001-01-3,1.0,4.000043427276863,0.0005293588288230002,3.2762498392158115,True,True
21,BRD-K20290250-001-03-9,0.1584022190346931,1.8146284506243253,0.02652227142077675,1.5763892848197996,True,True
22,BRD-K21728777-001-03-9,1.0,4.000043427276863,0.0005293588288230002,3.2762498392158115,True,True
23,BRD-K23383398-001-08-1,0.6231221903096902,3.3934156119357186,0.001212566715336575,2.916294357216056,True,True
24,BRD-K24600306-003-02-9,0.024034622206059966,0.598610111809942,0.2732463096443358,0.563445694746691,False,False
25,BRD-K24696047-001-03-9,0.6589285714285714,3.825300926192858,0.0006116724250752647,3.2134810975757393,True,True
26,BRD-K25433859-003-03-1,0.14116563283380534,1.3352823892138161,0.0704868509493075,1.1518918914166354,True,False
27,BRD-K25611237-001-09-9,0.05027493874987471,0.8804830946695146,0.1671643889764145,0.7768562347812537,False,False
