plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
S-C-7314-04-CMP-001	A01	BRD-K62391742-001-19-9	4.342195	5	DMSO
S-C-7314-04-CMP-001	A02	BRD-K19477839-001-10-9	1.79704	5	DMSO
S-C-7314-04-CMP-001	A03	BRD-K54759182-003-09-8	1.659515	5	DMSO
S-C-7314-04-CMP-001	A04	BRD-K70642949-001-06-9	2.3129525	5	DMSO
S-C-7314-04-CMP-001	A05	BRD-K73397362-001-09-9	2.603124	5	DMSO
S-C-7314-04-CMP-001	A06	BRD-K13606314-001-02-9	1.741125	5	DMSO
S-C-7314-04-CMP-001	A07	BRD-K82941592-238-06-9	2.61816	5	DMSO
S-C-7314-04-CMP-001	A08	BRD-K86718786-001-03-9	1.4916985	5	DMSO
S-C-7314-04-CMP-001	A09	BRD-K02965346-001-01-8	2.840435	5	DMSO
S-C-7314-04-CMP-001	A10	BRD-K36234266-001-10-6	1.07025	5	DMSO
S-C-7314-04-CMP-001	A11	BRD-K72898849-001-03-9	2.54692	5	DMSO
S-C-7314-04-CMP-001	A12	BRD-A87435144-001-01-6	2.39435	5	DMSO
S-C-7314-04-CMP-001	A13	BRD-K94455792-001-01-8	2.743158	5	DMSO
S-C-7314-04-CMP-001	A14	BRD-K01826510-001-09-9	1.87452	5	DMSO
S-C-7314-04-CMP-001	A15	BRD-K09372874-001-02-9	2.2622995	5	DMSO
S-C-7314-04-CMP-001	A16	BRD-K06182768-001-02-3	1.647183	5	DMSO
S-C-7314-04-CMP-001	A17	BRD-K53972329-001-12-9	1.531825	5	DMSO
S-C-7314-04-CMP-001	A18	BRD-K49669041-001-10-9	2.35677	5	DMSO
S-C-7314-04-CMP-001	A19				DMSO
S-C-7314-04-CMP-001	A20	BRD-K45909031-001-03-9	2.484945	5	DMSO
S-C-7314-04-CMP-001	A21	BRD-K38627885-001-01-9	2.067375	5	DMSO
S-C-7314-04-CMP-001	A22	BRD-K99092662-001-02-9	1.52858	5	DMSO
S-C-7314-04-CMP-001	A23	BRD-K21728777-001-03-9	2.51789	5	DMSO
S-C-7314-04-CMP-001	A24	BRD-K75009076-001-04-9	1.88127	5	DMSO
S-C-7314-04-CMP-001	B01				DMSO
S-C-7314-04-CMP-001	B02	BRD-K67578145-001-13-9	1.671859	5	DMSO
S-C-7314-04-CMP-001	B03	BRD-K67578145-001-13-9	1.671859	5	DMSO
S-C-7314-04-CMP-001	B04	BRD-K56301217-001-02-5	4.067135	5	DMSO
S-C-7314-04-CMP-001	B05	BRD-K02965346-001-01-8	2.840435	5	DMSO
S-C-7314-04-CMP-001	B06	BRD-K54759182-003-09-8	1.659515	5	DMSO
S-C-7314-04-CMP-001	B07	BRD-K99433989-001-02-9	2.450295	5	DMSO
S-C-7314-04-CMP-001	B08	BRD-K45909031-001-03-9	2.484945	5	DMSO
S-C-7314-04-CMP-001	B09	BRD-A22769835-300-05-7	1.93887	5	DMSO
S-C-7314-04-CMP-001	B10	BRD-K98203492-001-06-9	2.0875175	5	DMSO
S-C-7314-04-CMP-001	B11	BRD-K06883221-001-02-9	2.07248	5	DMSO
S-C-7314-04-CMP-001	B12	BRD-K66430217-001-05-9	1.690945	5	DMSO
S-C-7314-04-CMP-001	B13	BRD-K84937637-001-21-9	4.5708595	5	DMSO
S-C-7314-04-CMP-001	B14	BRD-K93942811-001-03-9	1.9223845	5	DMSO
